"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","Get CPU architecture name of underlying OS","Cypress APIs","2026-02-27","passed","2026-02-27","","Cypress.arch","",""
"","93",".closest() - get closest ancestor DOM element","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","93","cy.setCookie() - set a browser cookie","Cookies","2026-02-27","passed","2026-02-27","","","",""
"","181","Cypress.$ - call a jQuery method","Utilities","2026-02-27","passed","2026-02-27","","","",""
"","184",".rightclick() - right click on a DOM element","Actions","2026-02-27","passed","2026-02-27","","","",""
"","110",".debug() - enable or disable debugging","Cypress APIs","2026-02-27","passed","2026-02-27","","Cypress.Cookies","",""
"","339","cy.request() - verify response using BDD syntax","Network Requests","2026-02-27","passed","2026-02-27","","","",""
"","1074","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-02-27","passed","2026-02-27","","","",""
"","226","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-02-27","passed","2026-02-27","","","",""
"","406","can add new todo items","example to-do app","2026-02-27","passed","2026-02-27","","","",""
"","73","Control what is printed to the Command Log","Cypress APIs","2026-02-27","passed","2026-02-27","","Cypress.log","",""
"","189",".dblclick() - double click on a DOM element","Actions","2026-02-27","passed","2026-02-27","","","",""
"","344",".submit() - submit a form","Actions","2026-02-27","passed","2026-02-27","","","",""
"","309","Cypress._ - call a lodash method","Utilities","2026-02-27","passed","2026-02-27","","","",""
"","180","cy.window() - get the global window object","Window","2026-02-27","passed","2026-02-27","","","",""
"","185","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-02-27","passed","2026-02-27","","","",""
"","109","cy.getAllCookies() - get all browser cookies","Cookies","2026-02-27","passed","2026-02-27","","","",""
"","77","cy.wrap() - wrap an object","Misc","2026-02-27","passed","2026-02-27","","","",""
"","80","cy.root() - query the root DOM element","Querying","2026-02-27","passed","2026-02-27","","","",""
"","79",".spread() - spread an array as individual args to callback function","Connectors","2026-02-27","passed","2026-02-27","","","",""
"","1166","cy.exec() - execute a system command","Misc","2026-02-27","passed","2026-02-27","","","",""
"","233","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-02-27","passed","2026-02-27","","","",""
"","153","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-02-27","passed","2026-02-27","","","",""
"","161","cy.location() - get window.location","Location","2026-02-27","passed","2026-02-27","","","",""
"","450","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-02-27","passed","2026-02-27","","","",""
"","584","best practices - selecting elements","Querying","2026-02-27","passed","2026-02-27","","","",""
"","101","Get and set configuration options","Cypress APIs","2026-02-27","passed","2026-02-27","","Cypress.config()","",""
"","165","can check off an item as completed","example to-do app","2026-02-27","passed","2026-02-27","","","",""
"","459",".clear() - clears an input or textarea element","Actions","2026-02-27","passed","2026-02-27","","","",""
"","237","cy.get() - query DOM elements","Querying","2026-02-27","passed","2026-02-27","","","",""
"","107","pass your own callback function to should()","Assertions","2026-02-27","passed","2026-02-27","","Explicit Assertions","",""
"","570","cy.request() - make an XHR request","Network Requests","2026-02-27","passed","2026-02-27","","","",""
"","180","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-02-27","passed","2026-02-27","","","",""
"","408","cy.request() - pass result to the second request","Network Requests","2026-02-27","passed","2026-02-27","","","",""
"","242","can filter for completed tasks","example to-do app","2026-02-27","passed","2026-02-27","","with a checked task","",""
"","94",".siblings() - get all sibling DOM elements","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","104","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-02-27","passed","2026-02-27","","","",""
"","77","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-02-27","passed","2026-02-27","","","",""
"","935","cy.go() - go back or forward in the browser's history","Navigation","2026-02-27","passed","2026-02-27","","","",""
"","224","cy.writeFile() - write to a file","Files","2026-02-27","passed","2026-02-27","","","",""
"","85",".eq() - get a DOM element at a specific index","Traversal","2026-02-27","passed","2026-02-27","","","",""
"","288","cy.getCookie() - get a browser cookie","Cookies","2026-02-27","passed","2026-02-27","","","",""
"","90",".within() - query DOM elements within a specific element","Querying","2026-02-27","passed","2026-02-27","","","",""
"","107",".scrollIntoView() - scroll an element into view","Actions","2026-02-27","passed","2026-02-27","","","",""
"","163","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-02-27","passed","2026-02-27","","","",""
"","354","cy.reload() - reload the page","Navigation","2026-02-27","passed","2026-02-27","","","",""
"","513","displays two todo items by default","example to-do app","2026-02-27","passed","2026-02-27","","","",""
